id,type,time,products,items,orders,employees,packages,customers
place_o-990001,place_order,2023-04-03T10:08:18,"Echo,iPhone_11_Pro","i-880001,i-880002,i-880003",o-990001,,,AlpenTech_Innovations_AG
pick_i-880003,pick_item,2023-04-03T11:21:49,iPhone_11_Pro,i-880003,,Leah_Tacke_genannt_Unterberg,,
place_o-990002,place_order,2023-04-03T14:36:55,"Kindle_Paperwhite,MacBook_Pro,iPad_mini","i-880004,i-880005,i-880006",o-990002,,,AlpenTech_Innovations_AG
place_o-990003,place_order,2023-04-03T21:31:23,"Fire_Stick,Kindle_Paperwhite,iPad_Pro,iPhone_8,iPhone_X","i-880007,i-880008,i-880009,i-880010,i-880011,i-880012",o-990003,,,Celtica_Green_Farms_Oy
pick_i-880001,pick_item,2023-04-04T07:50:21,Echo,i-880001,,Leah_Tacke_genannt_Unterberg,,
pick_i-880006,pick_item,2023-04-04T08:01:31,iPad_mini,i-880006,,Leah_Tacke_genannt_Unterberg,,
place_o-990004,place_order,2023-04-04T10:30:50,"Echo,Echo_Dot,Echo_Show_8,Fire_Stick_4K,Kindle_Paperwhite,iPad_Pro,iPhone_8","i-880013,i-880014,i-880015,i-880016,i-880017,i-880018,i-880019,i-880020",o-990004,,,Baltic_Wave_Energies_Ltd.
pick_i-880020,pick_item,2023-04-04T13:08:41,Echo_Dot,i-880020,,Benedikt_Knopp,,
out_of_stock_i-880016,item_out_of_stock,2023-04-04T13:42:47,Echo_Show_8,i-880016,,Benedikt_Knopp,,
pick_i-880015,pick_item,2023-04-04T13:54:23,Echo_Show_8,i-880015,,Christopher_Schwanen,,
confirm_o-990002,confirm_order,2023-04-04T14:09:41,"Kindle_Paperwhite,MacBook_Pro,iPad_mini","i-880004,i-880005,i-880006",o-990002,Istvan_Koren,,AlpenTech_Innovations_AG
pick_i-880002,pick_item,2023-04-04T14:12:13,Echo,i-880002,,Nina_Graves,,
confirm_o-990001,confirm_order,2023-04-04T14:34:29,"Echo,iPhone_11_Pro","i-880001,i-880002,i-880003",o-990001,Wil_van_der_Aalst,,AlpenTech_Innovations_AG
pick_i-880009,pick_item,2023-04-04T14:57:22,iPad_Pro,i-880009,,Marco_Pegoraro,,
place_o-990005,place_order,2023-04-04T15:21:59,"Echo_Studio,Fire_Stick,Kindle_Paperwhite,MacBook_Air,iPad_Air","i-880021,i-880022,i-880023,i-880024,i-880025",o-990005,,,AlpenTech_Innovations_AG
pick_i-880021,pick_item,2023-04-04T15:31:37,MacBook_Air,i-880021,,Mahsa_Bafrani,,
confirm_o-990005,confirm_order,2023-04-04T18:51:37,"Echo_Studio,Fire_Stick,Kindle_Paperwhite,MacBook_Air,iPad_Air","i-880021,i-880022,i-880023,i-880024,i-880025",o-990005,Wil_van_der_Aalst,,AlpenTech_Innovations_AG
place_o-990006,place_order,2023-04-05T04:24:56,"Echo_Show_5,Echo_Studio,MacBook_Air,iPad,iPad_Pro,iPhone_11_Pro","i-880026,i-880027,i-880028,i-880029,i-880030,i-880031,i-880032",o-990006,,,Balkan_Minerals_d.o.o.
pick_i-880023,pick_item,2023-04-05T07:43:34,Kindle_Paperwhite,i-880023,,Leah_Tacke_genannt_Unterberg,,
pick_i-880025,pick_item,2023-04-05T08:37:14,Fire_Stick,i-880025,,Detlef_Wetzeler,,
pick_i-880012,pick_item,2023-04-05T09:03:07,iPad_Pro,i-880012,,Mahsa_Bafrani,,
